South Ossetia, Tskhinvali
Syria, Damascus
Solomon Islands, Honiara
Somaliland, Hargeisa
Seychelles, Victoria
Saint Kitts and Nevis, Basseterre
Saint Martin, Marigot
South Georgia and the South Sandwich Islands, Grytviken
Sweden, Stockholm
Saint Lucia, Castries
San Marino, San Marino
Slovenia, Ljubljana
São Tomé and Príncipe, São Tomé
Singapore, Singapore
Scotland, Edinburgh
Sint Maarten, Philipsburg
Saint Pierre and Miquelon, St. Pierre
Sudan, Khartoum
South Africa, Pretoria
Somalia, Mogadishu
Sri Lanka, Sri Jayawardenapura Kotte
Switzerland, Bern
Samoa, Apia
Spain, Madrid
Swaziland, Mbabane
South Korea, Seoul
Senegal, Dakar
Sierra Leone, Freetown
Saudi Arabia, Riyadh
Slovakia, Bratislava
Serbia, Belgrade
South Sudan South Sudan, Juba
Saint Vincent and the Grenadines, Kingstown
Saint Barthélemy, Gustavia
Suriname, Paramaribo
Saint Helena, Jamestown
